Feature1,Feature2,Feature3,Feature4,Cluster
0.6231030084510996,0.25889361150765744,0.6245001141300032,0.31170678715294653,1
0.3083506584546104,0.49924564653725645,0.9843495939790105,0.09956377997969157,2
0.609557279240744,0.29908775491402706,0.568320784525688,0.5922883410724813,1
0.6566255216738679,0.6557739934839799,0.9061088204496289,0.8122682152738846,0
0.6876448636337444,0.6744947402655551,0.3739061064346665,0.35278896167565876,1
0.378650071090574,0.6309499847931582,0.6236847876500848,0.5946940456282712,1
0.808515787630354,0.12657688949673618,0.771063065796459,0.18389368594266964,1
0.448661207051017,0.2838139245028841,0.20141870824557395,0.5336872788958681,1
0.0027676713761394245,0.9869471677950192,0.9051416980406592,0.8853123005278977,0
0.45706356185706076,0.4620312067691086,0.48575865963227016,0.402786063099449,1
