Feature1,Feature2,Feature3,Feature4,Cluster
0.5958731750023308,0.45476402566963714,0.20511143025936596,0.33330257648707695,2
0.19471502123329343,0.14777374741390226,0.09540510713969852,0.038479471093268325,2
0.6338794597370577,0.004512834147183287,0.8760570176562227,0.9397033295693762,1
0.24652479262768956,0.821092817086733,0.724298791265346,0.1532253516818437,0
0.5731628122240159,0.22316733421490387,0.888522146673566,0.6015513691192298,1
0.9153944172319973,0.6268772401746868,0.1572939939071285,0.5566486039693108,2
0.4674549648446181,0.4798828170905388,0.8440642199041191,0.6346643817811086,1
0.06482371077582072,0.9249872357128616,0.25327453207626227,0.5516216941774162,0
0.7272359406029911,0.6355766729505551,0.6021486971166893,0.5112393759958827,1
0.41184075826299293,0.6250411004692701,0.2923003555599112,0.046056009744644744,2
