Feature1,Feature2,Feature3,Feature4,Cluster
0.6045893875273242,0.6682214128920563,0.461761530753081,0.5164485966802796,2
0.3635391516852381,0.26240000996835033,0.18524772308882664,0.7240258369579513,1
0.6669874882598145,0.15616549924835055,0.40730265563066015,0.2880116870315941,1
0.16404020307696499,0.9462685591725182,0.48893995544576074,0.73900285688265,0
0.1538860052469493,0.24666452839266173,0.3036811819759554,0.19383722891960709,1
0.5491742151456516,0.31215858341696223,0.11593552996592305,0.47033698972873006,1
0.13054953743679365,0.4949002966929239,0.20323872033817147,0.42159883719891456,1
0.02888407809292659,0.6889941077199107,0.615822284120302,0.667633708349855,0
0.3603366046043893,0.7909568645347285,0.3558287018091142,0.4169548586424138,2
0.2842666074613346,0.8946392371407271,0.15504720949266348,0.8224751232127817,0
