Date,Open,High,Low,Close,Adj Close,Volume
02-01-1962,6.532155037,6.556184769,6.532155037,6.532155037,1.536657572,55900
03-01-1962,6.532155037,6.632279873,6.524145126,6.632279873,1.560211778,74500
04-01-1962,6.632279873,6.664319992,6.632279873,6.632279873,1.560211778,80500
05-01-1962,6.632279873,6.656310081,6.616260052,6.624269962,1.558326483,70500
08-01-1962,6.608250141,6.608250141,6.339914799,6.407999992,1.507450342,93800
09-01-1962,6.407999992,6.508124828,6.355935097,6.355935097,1.495202422,64500
10-01-1962,6.355935097,6.407999992,6.339914799,6.363945007,1.497087121,34500
11-01-1962,6.347925186,6.347925186,6.323894978,6.339914799,1.49143362,27900
12-01-1962,6.339914799,6.347925186,6.207749844,6.207749844,1.460343122,26500
15-01-1962,6.139665127,6.139665127,6.055560112,6.055560112,1.424540401,64500
16-01-1962,6.039539814,6.039539814,6.007500172,6.007500172,1.413234472,27900
17-01-1962,6.007500172,6.023519993,6.007500172,6.007500172,1.413234472,79900
18-01-1962,6.007500172,6.007500172,6.007500172,6.007500172,1.413234472,89800
19-01-1962,6.007500172,6.047550201,6.007500172,6.023519993,1.417002797,100400
22-01-1962,6.039539814,6.131655216,6.039539814,6.039539814,1.420771718,69900
23-01-1962,6.039539814,6.115634918,6.015510082,6.015510082,1.415119052,34500
24-01-1962,6.015510082,6.015510082,5.839290142,5.955434799,1.400986075,45900
25-01-1962,5.955434799,5.963445187,5.915384769,5.915384769,1.391565084,37900
26-01-1962,5.915384769,5.931405067,5.915384769,5.931405067,1.395334363,37900
29-01-1962,5.931405067,5.955434799,5.915384769,5.923395157,1.393448591,42500
30-01-1962,5.931405067,5.963445187,5.931405067,5.963445187,1.402871013,30500
31-01-1962,5.963445187,6.007500172,5.947424889,5.955434799,1.400986075,55900
01-02-1962,5.947424889,5.947424889,5.855309963,5.931405067,1.395334363,67900
02-02-1962,5.931405067,5.955434799,5.907374859,5.915384769,1.391565084,30500
05-02-1962,5.939414978,5.963445187,5.939414978,5.939414978,1.397217989,72500
06-02-1962,5.915384769,5.915384769,5.823269844,5.855309963,1.384434819,40500
07-02-1962,5.863319874,5.939414978,5.863319874,5.915384769,1.398639917,45900
08-02-1962,5.915384769,5.931405067,5.839290142,5.863319874,1.386329293,51900
09-02-1962,5.863319874,5.923395157,5.823269844,5.823269844,1.376859903,33900
12-02-1962,5.823269844,5.831280231,5.815259933,5.815259933,1.374965429,16600
13-02-1962,5.855309963,5.915384769,5.855309963,5.863319874,1.386329293,62500
14-02-1962,5.839290142,5.839290142,5.747175217,5.807250023,1.373071313,56500
15-02-1962,5.807250023,5.907374859,5.739164829,5.739164829,1.356974006,62500
16-02-1962,5.739164829,5.831280231,5.739164829,5.831280231,1.378753543,55900
19-02-1962,5.839290142,5.907374859,5.839290142,5.863319874,1.386329293,29900
20-02-1962,5.863319874,5.963445187,5.847300053,5.963445187,1.410002708,40500
21-02-1962,6.007500172,6.131655216,6.007500172,6.031529903,1.426100731,56500
23-02-1962,6.031529903,6.063570023,6.023519993,6.055560112,1.431782365,72500
26-02-1962,6.055560112,6.107625008,5.955434799,6.107625008,1.444092631,82500
27-02-1962,6.107625008,6.123644829,6.107625008,6.107625008,1.444092631,27900
28-02-1962,6.107625008,6.223770142,6.039539814,6.039539814,1.42799437,47900
01-03-1962,6.039539814,6.307875156,6.023519993,6.255809784,1.479129076,74500
02-03-1962,6.255809784,6.355935097,6.255809784,6.331904888,1.497120142,41900
05-03-1962,6.331904888,6.432030201,6.331904888,6.424019814,1.518900633,56500
06-03-1962,6.432030201,6.508124828,6.432030201,6.464069843,1.528370976,75900
07-03-1962,6.464069843,6.524145126,6.448050022,6.448050022,1.524582624,45900
