Feature1,Feature2,Feature3,Feature4,Cluster
0.4054510847690611,0.5489457467262054,0.20790853945599097,0.3349330594394242,2
0.5254789130698201,0.20609331873837822,0.6311945298848787,0.9753587371010858,0
0.9920890589770813,0.5596691530901308,0.05273530362270251,0.05308906480702169,2
0.5716286222186682,0.793842647854373,0.7710334603074711,0.9982295109003145,0
0.7627192610643316,0.9793563094780657,0.21679135524714754,0.5675762401812438,2
0.5491255798989566,0.7104324141551308,0.7387949876060768,0.9676764714792978,0
0.9957438996769971,0.23826879306894932,0.7332194405667589,0.17061118336816006,1
0.3080173104557655,0.3090961000624409,0.7583941465683087,0.06782677180739771,2
0.4867155136218254,0.21086760995353704,0.405091884624591,0.7448493883096727,0
0.6654276926635915,0.3580550434866103,0.8049414596189223,0.8409845604398546,0
