Feature1,Feature2,Feature3,Feature4,Cluster
0.45057812894839633,0.273682933561889,0.5577134000977398,0.38091983870364776,0
0.4483188964257836,0.8480559562111336,0.007509356633894848,0.8251336513174694,2
0.43055933651389033,0.1829337289605948,0.3325939043065743,0.44304258833369636,0
0.6615103892670862,0.5204117564282944,0.564569101356817,0.23654606342914308,0
0.9305481194075721,0.8055394591962584,0.6950134803869601,0.2860057666704946,0
0.18950392072743183,0.9201790580180326,0.7381251259994733,0.25317673439387955,1
0.025469336741714366,0.8062494447113532,0.3879919978409393,0.07023386141454346,1
0.14641288491052962,0.4407942229517853,0.6994516337423012,0.614455339732126,1
0.8497337569770178,0.8805063633427235,0.22936221890570374,0.10592300188535075,0
0.24997398969135232,0.898419685680876,0.7360813581705359,0.40974697017480344,1
