Feature1,Feature2,Feature3,Feature4,Cluster
0.8649528175882278,0.7690627796293402,0.10500688813202286,0.12325885638308887,0
0.9148989422994465,0.058875033547483135,0.28729442800746585,0.7412378960121373,2
0.011839305878532214,0.6230555327240681,0.5291822487244645,0.03717926190517429,1
0.7164507017390553,0.2916654806607829,0.0848860511883639,0.18680860311239333,0
0.028471875076844566,0.12875698430259308,0.849439716313399,0.4131157609792858,1
0.3879965132087646,0.8259075289662219,0.87331896671148,0.370691563839891,1
0.7506417874348517,0.6195572298886072,0.9128151628763446,0.745783255906087,1
0.5459875124500612,0.03896561929967313,0.868488228243142,0.2735382072337652,1
0.42942999352427935,0.365974448574773,0.20957482058682608,0.8065063151465992,2
0.5653564831536346,0.5754703514841908,0.8365316193302662,0.5474283438827582,1
